name;date(date_from);time(date_from);date(date_to);time(date_to);granularity;line_name;fw_count;bw_count
xovis-0floor;2023-05-05;18:00:00;2023-05-05;19:00:00;3600;Вход в цоколе;21;23
xovis-0floor;2023-05-05;19:00:00;2023-05-05;20:00:00;3600;Вход в цоколе;4;15
xovis-0floor;2023-05-05;20:00:00;2023-05-05;21:00:00;3600;Вход в цоколе;2;7
xovis-0floor;2023-05-05;21:00:00;2023-05-05;22:00:00;3600;Вход в цоколе;0;0
xovis-0floor;2023-05-05;22:00:00;2023-05-05;23:00:00;3600;Вход в цоколе;0;0
xovis-1floor;2023-05-01;21:00:00;2023-05-02;14:00:00;3600;Центральный вход;1;4
xovis-1floor;2023-05-02;14:00:00;2023-05-02;15:00:00;3600;Центральный вход;116;104
xovis-1floor;2023-05-02;15:00:00;2023-05-02;16:00:00;3600;Центральный вход;103;98
xovis-1floor;2023-05-02;16:00:00;2023-05-02;17:00:00;3600;Центральный вход;86;86
xovis-1floor;2023-05-02;17:00:00;2023-05-02;18:00:00;3600;Центральный вход;82;128
xovis-1floor;2023-05-02;18:00:00;2023-05-02;19:00:00;3600;Центральный вход;64;109
xovis-1floor;2023-05-02;19:00:00;2023-05-02;20:00:00;3600;Центральный вход;45;95
xovis-1floor;2023-05-02;20:00:00;2023-05-02;21:00:00;3600;Центральный вход;30;74
xovis-1floor;2023-05-02;21:00:00;2023-05-02;22:00:00;3600;Центральный вход;5;13
xovis-1floor;2023-05-02;22:00:00;2023-05-02;23:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-02;23:00:00;2023-05-03;00:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-03;00:00:00;2023-05-03;01:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-03;01:00:00;2023-05-03;02:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-03;02:00:00;2023-05-03;03:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-03;03:00:00;2023-05-03;04:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-03;04:00:00;2023-05-03;05:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-03;05:00:00;2023-05-03;06:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-03;06:00:00;2023-05-03;07:00:00;3600;Центральный вход;1;1
xovis-1floor;2023-05-03;07:00:00;2023-05-03;08:00:00;3600;Центральный вход;17;11
xovis-1floor;2023-05-03;08:00:00;2023-05-03;09:00:00;3600;Центральный вход;80;5
xovis-1floor;2023-05-03;09:00:00;2023-05-03;10:00:00;3600;Центральный вход;116;46
xovis-1floor;2023-05-03;10:00:00;2023-05-03;11:00:00;3600;Центральный вход;119;69
xovis-1floor;2023-05-03;11:00:00;2023-05-03;12:00:00;3600;Центральный вход;100;78
xovis-1floor;2023-05-03;12:00:00;2023-05-03;13:00:00;3600;Центральный вход;115;113
xovis-1floor;2023-05-03;13:00:00;2023-05-03;14:00:00;3600;Центральный вход;134;120
xovis-1floor;2023-05-03;14:00:00;2023-05-03;15:00:00;3600;Центральный вход;113;105
xovis-1floor;2023-05-03;15:00:00;2023-05-03;16:00:00;3600;Центральный вход;125;121
xovis-1floor;2023-05-03;16:00:00;2023-05-03;17:00:00;3600;Центральный вход;96;111
xovis-1floor;2023-05-03;17:00:00;2023-05-03;18:00:00;3600;Центральный вход;79;120
xovis-1floor;2023-05-03;18:00:00;2023-05-03;19:00:00;3600;Центральный вход;75;160
xovis-1floor;2023-05-03;19:00:00;2023-05-03;20:00:00;3600;Центральный вход;35;81
xovis-1floor;2023-05-03;20:00:00;2023-05-03;21:00:00;3600;Центральный вход;7;58
xovis-1floor;2023-05-03;21:00:00;2023-05-03;22:00:00;3600;Центральный вход;3;13
xovis-1floor;2023-05-03;22:00:00;2023-05-03;23:00:00;3600;Центральный вход;0;0
xovis-1floor;2023-05-03;23:00:00;2023-05-04;00:00:00;3600;Центральный вход;0;0
